0.120000	0.130000	Sound 01
0.230000	0.240000	Sound 02
0.560000	0.570000	Sound 03
0.860000	0.880000	Sound 04
1.010000	1.050000	Sound 05
1.170000	1.210000	Sound 06
1.350000	1.390000	Sound 07
1.490000	1.520000	Sound 08
1.660000	1.700000	Sound 09
1.810000	1.850000	Sound 10
1.960000	2.000000	Sound 11
2.110000	2.160000	Sound 12
2.290000	2.310000	Sound 13
2.440000	2.470000	Sound 14
2.580000	2.620000	Sound 15
2.750000	2.790000	Sound 16
2.910000	2.940000	Sound 17
3.060000	3.090000	Sound 18
3.200000	3.220000	Sound 19
3.340000	3.380000	Sound 20
3.500000	3.520000	Sound 21
3.790000	3.830000	Sound 22
3.960000	3.970000	Sound 23
4.120000	4.150000	Sound 24
4.300000	4.320000	Sound 25
4.440000	4.470000	Sound 26
4.590000	4.600000	Sound 27
4.760000	4.790000	Sound 28
4.910000	4.930000	Sound 29
5.360000	5.390000	Sound 30
5.520000	5.530000	Sound 31
5.680000	5.700000	Sound 32
5.830000	5.860000	Sound 33
5.990000	6.010000	Sound 34
6.150000	6.160000	Sound 35
6.310000	6.340000	Sound 36
6.580000	6.620000	Sound 37
6.760000	6.780000	Sound 38
6.890000	6.910000	Sound 39
7.030000	7.050000	Sound 40
7.170000	7.200000	Sound 41
7.350000	7.360000	Sound 42
7.490000	7.510000	Sound 43
7.640000	7.660000	Sound 44
7.790000	7.810000	Sound 45
7.930000	7.950000	Sound 46
8.070000	8.090000	Sound 47
8.200000	8.230000	Sound 48
8.340000	8.370000	Sound 49
8.480000	8.510000	Sound 50
8.630000	8.660000	Sound 51
8.790000	8.820000	Sound 52
8.940000	8.960000	Sound 53
9.110000	9.120000	Sound 54
9.230000	9.260000	Sound 55
9.370000	9.390000	Sound 56
9.530000	9.570000	Sound 57
9.690000	9.710000	Sound 58
9.820000	9.850000	Sound 59
9.970000	9.990000	Sound 60
10.100000	10.120000	Sound 61
10.240000	10.250000	Sound 62
10.370000	10.400000	Sound 63
10.540000	10.570000	Sound 64
10.680000	10.710000	Sound 65
10.850000	10.880000	Sound 66
11.000000	11.040000	Sound 67
11.170000	11.190000	Sound 68
11.290000	11.310000	Sound 69
11.440000	11.470000	Sound 70
11.610000	11.630000	Sound 71
11.740000	11.770000	Sound 72
11.900000	11.930000	Sound 73
12.050000	12.070000	Sound 74
12.190000	12.210000	Sound 75
12.320000	12.350000	Sound 76
12.460000	12.480000	Sound 77
12.590000	12.620000	Sound 78
12.730000	12.770000	Sound 79
12.880000	12.920000	Sound 80
13.040000	13.080000	Sound 81
13.190000	13.220000	Sound 82
13.340000	13.370000	Sound 83
13.490000	13.530000	Sound 84
13.670000	13.690000	Sound 85
13.820000	13.850000	Sound 86
13.960000	14.000000	Sound 87
14.110000	14.140000	Sound 88
14.270000	14.290000	Sound 89
14.420000	14.440000	Sound 90
14.710000	14.740000	Sound 91
14.880000	14.910000	Sound 92
15.040000	15.070000	Sound 93
15.190000	15.210000	Sound 94
15.330000	15.360000	Sound 95
15.510000	15.530000	Sound 96
15.660000	15.680000	Sound 97
15.800000	15.830000	Sound 98
15.950000	15.980000	Sound 99
16.100000	16.130000	Sound 100
16.270000	16.300000	Sound 101
16.550000	16.580000	Sound 102
16.690000	16.730000	Sound 103
16.850000	16.880000	Sound 104
17.170000	17.200000	Sound 105
17.310000	17.330000	Sound 106
17.450000	17.480000	Sound 107
17.600000	17.630000	Sound 108
17.750000	17.780000	Sound 109
18.120000	18.140000	Sound 110
18.250000	18.280000	Sound 111
18.400000	18.430000	Sound 112
18.540000	18.550000	Sound 113
18.690000	18.720000	Sound 114
18.850000	18.880000	Sound 115
19.000000	19.030000	Sound 116
19.140000	19.180000	Sound 117
19.300000	19.330000	Sound 118
19.440000	19.460000	Sound 119
19.570000	19.590000	Sound 120
19.730000	19.750000	Sound 121
19.870000	19.900000	Sound 122
20.010000	20.040000	Sound 123
20.160000	20.190000	Sound 124
20.340000	20.370000	Sound 125
20.480000	20.510000	Sound 126
20.630000	20.660000	Sound 127
20.790000	20.800000	Sound 128
20.940000	20.960000	Sound 129
21.120000	21.130000	Sound 130
21.290000	21.300000	Sound 131
21.420000	21.450000	Sound 132
21.590000	21.610000	Sound 133
21.760000	21.780000	Sound 134
21.910000	21.940000	Sound 135
22.060000	22.080000	Sound 136
22.200000	22.220000	Sound 137
22.330000	22.350000	Sound 138
22.480000	22.500000	Sound 139
22.670000	22.680000	Sound 140
22.790000	22.820000	Sound 141
22.940000	22.980000	Sound 142
23.100000	23.130000	Sound 143
23.240000	23.280000	Sound 144
23.400000	23.430000	Sound 145
23.540000	23.570000	Sound 146
23.690000	23.720000	Sound 147
23.830000	23.860000	Sound 148
23.980000	24.000000	Sound 149
24.120000	24.150000	Sound 150
24.260000	24.290000	Sound 151
24.430000	24.450000	Sound 152
24.730000	24.770000	Sound 153
24.880000	24.900000	Sound 154
25.030000	25.050000	Sound 155
25.170000	25.190000	Sound 156
25.340000	25.360000	Sound 157
25.490000	25.520000	Sound 158
25.640000	25.670000	Sound 159
25.840000	25.850000	Sound 160
25.990000	26.020000	Sound 161
26.170000	26.180000	Sound 162
26.300000	26.320000	Sound 163
26.460000	26.470000	Sound 164
26.590000	26.610000	Sound 165
26.880000	26.910000	Sound 166
27.040000	27.070000	Sound 167
27.190000	27.220000	Sound 168
27.350000	27.370000	Sound 169
27.500000	27.510000	Sound 170
27.650000	27.670000	Sound 171
27.800000	27.820000	Sound 172
27.940000	27.970000	Sound 173
28.090000	28.110000	Sound 174
28.240000	28.270000	Sound 175
28.390000	28.410000	Sound 176
28.530000	28.560000	Sound 177
28.680000	28.700000	Sound 178
29.070000	29.090000	Sound 179
29.340000	29.350000	Sound 180
29.530000	29.550000	Sound 181
29.690000	29.730000	Sound 182
29.840000	29.860000	Sound 183
30.120000	30.150000	Sound 184
30.320000	30.330000	Sound 185
30.460000	30.490000	Sound 186
30.610000	30.630000	Sound 187
30.750000	30.770000	Sound 188
