0.050000	0.110000	Sound 01
0.150000	0.210000	Sound 02
0.270000	0.320000	Sound 03
0.370000	0.430000	Sound 04
0.480000	0.530000	Sound 05
0.590000	0.640000	Sound 06
0.690000	0.750000	Sound 07
0.800000	0.850000	Sound 08
0.900000	0.960000	Sound 09
1.010000	1.070000	Sound 10
1.120000	1.170000	Sound 11
1.230000	1.280000	Sound 12
1.340000	1.390000	Sound 13
1.940000	2.000000	Sound 14
2.040000	2.100000	Sound 15
2.150000	2.200000	Sound 16
2.250000	2.300000	Sound 17
2.350000	2.410000	Sound 18
2.460000	2.510000	Sound 19
2.560000	2.620000	Sound 20
2.670000	2.730000	Sound 21
2.780000	2.830000	Sound 22
2.890000	2.940000	Sound 23
2.990000	3.050000	Sound 24
3.100000	3.150000	Sound 25
3.200000	3.260000	Sound 26
3.310000	3.370000	Sound 27
3.420000	3.480000	Sound 28
3.520000	3.580000	Sound 29
4.030000	4.090000	Sound 30
4.130000	4.190000	Sound 31
4.240000	4.290000	Sound 32
4.340000	4.400000	Sound 33
4.450000	4.510000	Sound 34
4.550000	4.610000	Sound 35
4.660000	4.720000	Sound 36
4.760000	4.820000	Sound 37
4.870000	4.930000	Sound 38
4.980000	5.000000	Sound 39
