0.050	0.110	0.060	
0.150	0.210	0.060	
0.270	0.320	0.050	
0.370	0.430	0.060	
0.480	0.530	0.050	
0.590	0.640	0.050	
0.690	0.750	0.060	
0.800	0.850	0.050	
0.900	0.960	0.060	
1.010	1.070	0.060	
1.120	1.170	0.050	
1.230	1.280	0.050	
1.340	1.390	0.050	
1.940	2.000	0.060	
2.040	2.100	0.060	
2.150	2.200	0.050	
2.250	2.300	0.050	
2.350	2.410	0.060	
2.460	2.510	0.050	
2.560	2.620	0.060	
2.670	2.730	0.060	
2.780	2.830	0.050	
2.890	2.940	0.050	
2.990	3.050	0.060	
3.100	3.150	0.050	
3.200	3.260	0.060	
3.310	3.370	0.060	
3.420	3.480	0.060	
3.520	3.580	0.060	
4.030	4.090	0.060	
4.130	4.190	0.060	
4.240	4.290	0.050	
4.340	4.400	0.060	
4.450	4.510	0.060	
4.550	4.610	0.060	
4.660	4.720	0.060	
4.760	4.820	0.060	
4.870	4.930	0.060	
4.980	5.000	0.020	
0.03	0.1	0.070	
0.15	0.22	0.070	
0.28	0.33	0.050	
0.4	0.46	0.060	
0.52	0.61	0.090	
0.64	0.7	0.060	
0.77	0.83	0.060	
0.89	0.95	0.060	
1	1.06	0.060	
1.13	1.19	0.060	
1.25	1.31	0.060	
1.37	1.43	0.060	
1.49	1.56	0.070	
1.62	1.68	0.060	
1.74	1.8	0.060	
1.85	1.91	0.060	
1.96	2.04	0.080	
2.09	2.16	0.070	
2.21	2.28	0.070	
2.34	2.39	0.050	
2.46	2.52	0.060	
2.57	2.64	0.070	
2.69	2.75	0.060	
2.81	2.87	0.060	
2.92	3	0.080	
3.05	3.11	0.060	
3.16	3.23	0.070	
3.28	3.35	0.070	
3.41	3.46	0.050	
3.53	3.6	0.070	
3.65	3.71	0.060	
3.73	3.79	0.060	
3.81	3.91	0.100	
3.94	3.99	0.050	
4.01	4.07	0.060	
4.13	4.19	0.060	
4.25	4.31	0.060	
4.37	4.45	0.080	
4.48	4.55	0.070	
4.62	4.68	0.060	
4.7	4.79	0.090	
4.83	4.92	0.090	
4.94	5	0.060	
2.97	3.08	0.110	
3.05	3.16	0.110	
3.12	3.23	0.110	
3.2	3.31	0.110	
3.27	3.38	0.110	
3.35	3.46	0.110	
3.42	3.54	0.120	
3.5	3.62	0.120	
3.57	3.69	0.120	
3.66	3.77	0.110	
3.73	3.85	0.120	
3.89	4	0.110	
3.97	4.09	0.120	
4.05	4.16	0.110	
4.12	4.24	0.120	
4.2	4.32	0.120	
4.33	4.42	0.090	
4.39	4.46	0.070	
4.43	4.55	0.120	
4.51	4.62	0.110	
4.58	4.69	0.110	
4.75	4.84	0.090	
4.82	4.89	0.070	
4.85	4.98	0.130	
0.16	0.27	0.110	
0.74	0.85	0.110	
1.07	1.2	0.130	
2.06	2.18	0.120	
2.57	2.68	0.110	
3.73	3.83	0.100	
3.790562	3.910562	0.120	
3.97	4.08	0.110	
0.01	0.03	0.020	
0.1	0.16	0.060	
0.22	0.28	0.060	
0.33	0.39	0.060	
0.46	0.51	0.050	
0.57	0.63	0.060	
0.7	0.76	0.060	
0.82	0.88	0.060	
0.94	1	0.060	
1.06	1.12	0.060	
1.19	1.24	0.050	
1.31	1.37	0.060	
1.43	1.49	0.060	
1.55	1.61	0.060	
1.67	1.73	0.060	
1.79	1.85	0.060	
1.91	1.98	0.070	
2.04	2.1	0.060	
2.16	2.22	0.060	
2.27	2.33	0.060	
2.4	2.45	0.050	
2.52	2.57	0.050	
2.64	2.7	0.060	
2.76	2.82	0.060	
2.88	2.94	0.060	
3	3.06	0.060	
3.13	3.18	0.050	
3.25	3.3	0.050	
3.37	3.43	0.060	
3.49	3.55	0.060	
3.62	3.67	0.050	
3.73	3.8	0.070	
3.86	3.92	0.060	
3.98	4.04	0.060	
4.1	4.16	0.060	
4.22	4.27	0.050	
4.34	4.39	0.050	
4.46	4.51	0.050	
4.58	4.64	0.060	
4.7	4.76	0.060	
4.82	4.88	0.060	
4.94	5	0.060	
